Nombre,Genero,Fecha de lanzamiento,Duracion,Director,Productora cinematografica,Presupuesto,Recaudacion,Ratings,Reviews
Prep & Landing Stocking Stuffer: Operation: Secret Santa,"['Animation', 'Family', 'Fantasy']",2010-12-07,7,,Walt Disney Pictures,0,0,6.5,[]
Percy Jackson & the Olympians: The Lightning Thief,"['Adventure', 'Fantasy', 'Family']",2010-02-01,118,,1492 Pictures,95000000,226497209,6.218,[]
Harry Potter and the Deathly Hallows: Part 1,"['Adventure', 'Fantasy']",2010-11-17,146,,Warner Bros. Pictures,250000000,954305868,7.761,[]
Loft,['Thriller'],2010-12-16,110,,Millstreet Films,0,0,6.2,[]
Inception,"['Action', 'Science Fiction', 'Adventure']",2010-07-15,148,,Legendary Pictures,160000000,825532764,8.366,[]
Tangled,"['Animation', 'Family']",2010-11-24,100,,Walt Disney Animation Studios,260000000,592461732,7.602,[]
Room in Rome,"['Drama', 'Romance']",2010-05-07,109,,Morena Films,0,844281,6.425,[]
Iron Man 2,"['Adventure', 'Action', 'Science Fiction']",2010-04-28,124,,Marvel Studios,200000000,623933331,6.837,[]
Meteor Storm,"['Science Fiction', 'Adventure', 'TV Movie']",2010-01-30,90,,IFC Films,0,0,4.6,[]
Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",2010-05-16,93,,DreamWorks Animation,165000000,752600000,6.359,[]
The Twilight Saga: Eclipse,"['Adventure', 'Fantasy', 'Drama', 'Romance']",2010-06-23,124,,Summit Entertainment,68000000,698491347,6.214,[]
Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",2010-03-03,108,,Walt Disney Pictures,200000000,1025467110,6.63,[]
How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",2010-03-18,98,,DreamWorks Animation,165000000,494879471,7.817,[]
Toy Story 3,"['Animation', 'Family', 'Comedy']",2010-06-16,103,,Pixar,200000000,1066970000,7.8,[]
Grown Ups,['Comedy'],2010-06-24,102,,Columbia Pictures,80000000,271430189,6.366,[]
Three Steps Above Heaven,"['Romance', 'Drama']",2010-12-03,122,,Atresmedia,0,0,7.742,[]
Despicable Me,"['Family', 'Animation', 'Comedy']",2010-07-08,95,,Illumination,69000000,533700000,7.231,[]
Piranha 3D,"['Comedy', 'Horror']",2010-08-20,88,,Atmosphere Entertainment MM,24000000,83188165,5.395,[]
Shutter Island,"['Drama', 'Thriller', 'Mystery']",2010-02-14,138,,Paramount,80000000,294800000,8.201,[]
Saw 3D,"['Horror', 'Crime']",2010-10-22,90,,Lionsgate,20000000,136200000,6.0,[]
The Karate Kid,"['Action', 'Adventure', 'Drama', 'Family']",2010-06-10,140,,Jerry Weintraub Productions,40000000,359126022,6.531,[]
Scott Pilgrim vs. the World,"['Action', 'Comedy', 'Romance']",2010-08-12,113,,Marc Platt Productions,85000000,48000000,7.485,[]
The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Adventure', 'Family', 'Fantasy']",2010-12-02,113,,Fox 2000 Pictures,155000000,415686217,6.437,[]
Undisputed III: Redemption,"['Action', 'Thriller']",2010-05-22,96,,Undisputed 3 Productions,3000000,0,7.564,[]
The Expendables,"['Thriller', 'Adventure', 'Action']",2010-08-03,103,,Nimar Studios,80000000,274500000,6.238,[]
Legion,"['Horror', 'Action', 'Fantasy']",2010-01-21,100,,Screen Gems,26000000,67918658,5.829,[]
Love & Other Drugs,"['Drama', 'Comedy', 'Romance']",2010-11-04,112,,Fox 2000 Pictures,30000000,102800000,7.043,[]
Predators,"['Science Fiction', 'Action', 'Thriller']",2010-07-03,107,,Davis Entertainment,40000000,127200000,6.248,[]
Megamind,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",2010-10-28,96,,DreamWorks Animation,130000000,321885765,6.968,[]
The Town,"['Crime', 'Drama', 'Thriller']",2010-09-15,125,,Legendary Pictures,37000000,154026136,7.204,[]
TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']",2010-12-14,125,,Walt Disney Pictures,170000000,400062763,6.461,[]
Clash of the Titans,"['Adventure', 'Fantasy', 'Action']",2010-03-26,106,,The Zanuck Company,125000000,493214993,5.882,[]
Flipped,"['Romance', 'Drama']",2010-08-06,89,,Reiner / Greisman Productions,14000000,1755212,7.992,[]
Salt,"['Action', 'Mystery', 'Thriller']",2010-07-21,100,,Wintergreen Productions,110000000,293329073,6.408,[]
I Spit on Your Grave,"['Thriller', 'Crime', 'Horror']",2010-06-17,108,,Anchor Bay Films,2000000,572809,6.5,[]
Easy A,['Comedy'],2010-09-16,93,,Screen Gems,8000000,75026327,6.813,[]
Robin Hood,"['Action', 'Adventure', 'Drama']",2010-05-12,140,,Scott Free Productions,200000000,321669741,6.389,[]
Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action']",2010-05-19,116,,Walt Disney Pictures,200000000,336365676,6.267,[]
The Social Network,['Drama'],2010-10-01,121,,Columbia Pictures,40000000,224920315,7.364,[]
Black Swan,"['Drama', 'Thriller', 'Horror']",2010-12-03,108,,Fox Searchlight Pictures,13000000,329400000,7.7,[]
El Infierno,"['Drama', 'Crime', 'Comedy']",2010-09-03,145,,Instituto Mexicano de Cinematografía,0,0,7.8,[]
Kick-Ass,"['Action', 'Crime']",2010-03-22,117,,Marv,28000000,96188903,7.122,[]
Tinker Bell and the Great Fairy Rescue,"['Animation', 'Adventure', 'Family', 'Fantasy']",2010-07-29,76,,DisneyToon Studios,0,0,6.729,[]
Nanny McPhee and the Big Bang,"['Comedy', 'Fantasy', 'Family']",2010-03-26,109,,Three Strange Angels,35000000,93251121,6.3,[]
Faster,"['Crime', 'Drama', 'Action', 'Thriller']",2010-11-23,98,,Castle Rock Entertainment,24000000,23081726,6.328,[]
Daybreakers,"['Action', 'Fantasy', 'Science Fiction']",2010-01-06,98,,Lionsgate,20000000,51417188,6.271,[]
The Last Airbender,"['Action', 'Adventure', 'Fantasy']",2010-06-30,103,,Paramount,150000000,319713881,4.655,[]
A Serbian Film,"['Crime', 'Horror', 'Thriller']",2010-06-16,104,,Contra Film,0,1541,5.472,[]
The Sorcerer's Apprentice,"['Fantasy', 'Adventure', 'Action']",2010-07-13,109,,Walt Disney Pictures,150000000,215300000,6.107,[]
Dear John,"['Drama', 'Romance', 'War']",2010-02-04,108,,Screen Gems,25000000,114977104,6.835,[]
The Book of Eli,"['Action', 'Thriller', 'Science Fiction']",2010-01-14,118,,Alcon Entertainment,80000000,157107755,6.782,[]
The Secret World of Arrietty,"['Fantasy', 'Animation', 'Family']",2010-07-16,94,,Studio Ghibli,23000000,149480483,7.648,[]
The Other Guys,"['Action', 'Comedy', 'Crime']",2010-08-06,107,,Columbia Pictures,100000000,170432927,6.302,[]
Legend of the Guardians: The Owls of Ga'Hoole,"['Animation', 'Adventure', 'Family', 'Fantasy']",2010-07-10,97,,Warner Bros. Pictures,80000000,140073390,6.804,[]
Step Up 3D,"['Drama', 'Romance']",2010-08-04,107,,Touchstone Pictures,30000000,159291809,6.815,[]
Barbie: A Fashion Fairytale,"['Family', 'Animation']",2010-09-14,79,,Mattel,0,0,7.183,[]
Scooby-Doo! Curse of the Lake Monster,"['Mystery', 'Fantasy', 'Comedy', 'Adventure']",2010-10-16,80,,Telvan Productions,0,0,6.154,[]
Burlesque,"['Drama', 'Romance']",2010-11-23,119,,Screen Gems,55000000,89519773,7.192,[]
Knight and Day,"['Action', 'Comedy']",2010-06-15,109,,Pink Machine,117000000,261989769,6.2,[]
The Fighter,['Drama'],2010-12-10,116,,The Weinstein Company,25000000,93617009,7.384,[]
Hereafter,"['Drama', 'Fantasy']",2010-10-22,129,,Warner Bros. Pictures,50000000,106956330,6.087,[]
Diary of a Wimpy Kid,"['Comedy', 'Family']",2010-03-19,92,,Dayday Films,15000000,76196538,6.225,[]
The Wolfman,"['Horror', 'History', 'Drama', 'Thriller']",2010-02-10,102,,Universal Pictures,150000000,0,5.847,[]
The Man from Nowhere,"['Action', 'Thriller', 'Crime']",2010-08-04,119,,Opus Pictures,1255000,43059790,7.7,[]
Machete,"['Action', 'Comedy', 'Thriller']",2010-09-01,105,,Overnight Films,20000000,45500000,6.3,[]
Barbie in A Mermaid Tale,"['Animation', 'Family', 'Fantasy']",2010-01-25,75,,Mattel Entertainment,0,16441438,7.2,[]
Death Race 2,"['Action', 'Thriller', 'Science Fiction']",2010-11-12,100,,Moonlighting Films,7000000,0,5.802,[]
Kung Fu Panda Holiday,"['Animation', 'Family', 'TV Movie', 'Comedy', 'Fantasy']",2010-11-26,21,,DreamWorks Animation,0,0,6.955,[]
Due Date,"['Comedy', 'Drama']",2010-11-03,95,,Legendary Pictures,65000000,211800000,6.356,[]
Arthur 3: The War of the Two Worlds,"['Animation', 'Adventure', 'Fantasy', 'Family']",2010-08-22,101,,EuropaCorp,70200000,0,5.776,[]
Unstoppable,"['Action', 'Thriller']",2010-11-04,98,,Prospect Park,100000000,167805466,6.567,[]
A Nightmare on Elm Street,"['Horror', 'Mystery', 'Thriller']",2010-04-30,95,,Platinum Dunes,35000000,115664037,5.515,[]
The King's Speech,"['Drama', 'History']",2010-11-26,118,,The Weinstein Company,15000000,414211549,7.741,[]
I Saw the Devil,"['Thriller', 'Horror']",2010-08-12,144,,Softbank Ventures,6000000,12900000,7.8,[]
Life As We Know It,"['Comedy', 'Romance', 'Drama']",2010-10-02,114,,Josephson Entertainment,38000000,105734416,6.911,[]
She's Out of My League,"['Romance', 'Comedy']",2010-03-11,104,,Paramount,20000000,49779728,6.466,[]
Little Fockers,"['Comedy', 'Romance']",2010-12-21,98,,Universal Pictures,100000000,310650585,5.646,[]
From Paris with Love,"['Action', 'Crime', 'Thriller']",2010-02-04,92,,M6,52000000,52800000,6.27,[]
Incendies,"['Drama', 'War', 'Mystery']",2010-09-04,131,,TS Productions,6800000,6788659,8.103,[]
22 Bullets,"['Drama', 'Crime', 'Thriller']",2010-03-23,117,,EuropaCorp,24000000,0,6.667,[]
Brooklyn's Finest,"['Crime', 'Drama', 'Thriller']",2010-03-04,133,,Nu Image,17000000,45700000,6.29,[]
Naruto Shippuden the Movie: The Lost Tower,"['Adventure', 'Action', 'Animation']",2010-07-31,85,,TOHO,0,8500000,7.002,[]
RED,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2010-10-13,111,,di Bonaventura Pictures,58000000,199000000,6.689,[]
A Turtle's Tale: Sammy's Adventures,"['Animation', 'Family']",2010-08-03,88,,Motion Investment Group,0,71594792,5.985,[]
Cats & Dogs: The Revenge of Kitty Galore,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Action', 'Animation']",2010-07-29,82,,Village Roadshow Pictures,85000000,112483764,5.193,[]
True Grit,"['Drama', 'Adventure', 'Western']",2010-12-22,110,,Paramount,38000000,252300000,7.303,[]
Leap Year,"['Romance', 'Comedy']",2010-01-08,100,,Birnbaum / Barber Productions,19000000,32686500,6.891,[]
127 Hours,"['Adventure', 'Drama', 'Thriller']",2010-11-12,94,,Fox Searchlight Pictures,18000000,35692920,7.075,[]
Pokémon: Zoroark - Master of Illusions,"['Family', 'Animation', 'Adventure', 'Fantasy']",2010-07-10,96,,East Japan Marketing & Communications,0,0,6.7,[]
30 Days of Night: Dark Days,"['Horror', 'Thriller']",2010-10-04,92,,Ghost House Pictures,0,0,4.9,[]
The Tourist,"['Action', 'Thriller', 'Romance']",2010-12-08,103,,Columbia Pictures,100000000,278731369,6.181,[]
Gulliver's Travels,"['Family', 'Comedy', 'Adventure', 'Fantasy']",2010-12-23,85,,Dune Entertainment,112000000,237382724,5.193,[]
The Spy Next Door,"['Action', 'Comedy', 'Family']",2010-01-15,94,,Spy Next Door,28000000,66166000,5.854,[]
Jonah Hex,"['Action', 'Western', 'Drama', 'Fantasy', 'Thriller']",2010-06-18,81,,Warner Bros. Pictures,47000000,10539000,4.905,[]
Remember Me,"['Drama', 'Romance']",2010-03-11,113,,Summit Entertainment,16000000,56000000,7.109,[]
The Losers,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",2010-04-23,97,,Dark Castle Entertainment,25000000,23580000,6.276,[]
My Name Is Khan,"['Drama', 'Romance']",2010-02-10,165,,Dharma Productions,12000000,42345360,8.049,[]
The Last Exorcism,"['Horror', 'Thriller', 'Mystery']",2010-08-27,87,,Strike Entertainment,1800000,69400000,5.7,[]
Skyline,"['Science Fiction', 'Adventure', 'Action', 'Thriller']",2010-11-11,92,,RAT Entertainment,10000000,66984888,4.983,[]
Tekken,"['Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']",2010-03-20,92,,Namco,30000000,967000,5.365,[]
The Experiment,"['Thriller', 'Drama']",2010-07-15,96,,Stage 6 Films,21800000,0,6.4,[]
The A-Team,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",2010-06-09,117,,Phoenix Film Partners,110000000,177238796,6.403,[]
Eat Pray Love,"['Drama', 'Romance']",2010-08-12,133,,Red Om Films,60000000,204594016,6.238,[]
Tooth Fairy,"['Comedy', 'Family', 'Fantasy']",2010-01-14,101,,Dune Entertainment,48000000,112462508,5.479,[]
Let Me In,"['Drama', 'Horror', 'Mystery']",2010-10-01,116,,Hammer Film Productions,20000000,24145613,6.772,[]
Paranormal Activity 2,"['Horror', 'Mystery']",2010-10-20,91,,Paramount,3000000,177512032,5.746,[]
Sex and the City 2,"['Comedy', 'Drama', 'Romance']",2010-05-26,146,,Village Roadshow Pictures,100000000,290745055,6.088,[]
Princess Protection Program,"['Family', 'TV Movie', 'Comedy']",2010-02-13,89,,Disney Branded Television,0,0,6.638,[]
Elite Squad: The Enemy Within,"['Drama', 'Action', 'Crime']",2010-10-08,115,,Feijão Filmes,0,63027681,7.8,[]
The Crazies,"['Mystery', 'Horror', 'Action']",2010-02-26,101,,Penn Station Entertainment,20000000,54956140,6.239,[]
Wild Target,"['Action', 'Comedy']",2010-06-17,98,,Regent Capital,8000000,3453043,6.423,[]
Titanic II,"['Action', 'Adventure', 'Thriller']",2010-08-07,90,,The Asylum,0,0,5.054,[]
Superman/Shazam!: The Return of Black Adam,"['Animation', 'Action']",2010-11-16,25,,DC Comics,0,0,7.1,[]
Frozen,['Thriller'],2010-02-05,93,,ArieScope Pictures,0,3065860,5.989,[]
Scooby-Doo! Camp Scare,"['Animation', 'Comedy', 'Family', 'Mystery']",2010-09-14,72,,Warner Bros. Animation,0,0,7.953,[]
Date Night,"['Comedy', 'Action', 'Adventure']",2010-04-08,88,,Dune Entertainment,55000000,152300000,6.089,[]
Monsters,"['Drama', 'Thriller', 'Science Fiction']",2010-06-18,94,,Vertigo Films,500000,5639730,6.224,[]
Student Services,['Drama'],2010-01-18,101,,Les Films du Kiosque,0,0,5.1,[]
The Extraordinary Adventures of Adèle Blanc-Sec,"['Fantasy', 'Adventure', 'Action', 'Mystery']",2010-04-09,105,,EuropaCorp,25000000,34604339,6.155,[]
The Search for Santa Paws,"['Family', 'Adventure']",2010-10-12,89,,Key Pix Productions,0,0,6.203,[]
Cop Out,"['Action', 'Comedy', 'Crime']",2010-02-26,107,,Marc Platt Productions,30000000,55600000,5.551,[]
Halo Legends,"['Animation', 'War', 'Action', 'Science Fiction']",2010-02-16,120,,Casio Entertainment,0,11000000,7.4,[]
Letters to Juliet,"['Comedy', 'Drama', 'Romance']",2010-05-13,105,,Summit Entertainment,30000000,82148538,6.982,[]
Superman/Batman: Apocalypse,"['Science Fiction', 'Action', 'Adventure', 'Animation']",2010-09-28,78,,Warner Premiere,3500000,0,7.183,[]
Day & Night,"['Animation', 'Family']",2010-06-17,6,,Walt Disney Pictures,0,0,7.715,[]
Batman: Under the Red Hood,"['Science Fiction', 'Crime', 'Action', 'Animation', 'Mystery']",2010-07-27,75,,Warner Bros. Animation,0,6629178,7.749,[]
Valentine's Day,"['Comedy', 'Romance']",2010-02-10,125,,Karz Entertainment,52000000,216500000,5.907,[]
"Tomorrow, When the War Began","['Action', 'Adventure', 'Drama']",2010-08-08,103,,Omnilab Media,27000000,16504936,6.164,[]
Yu-Gi-Oh!: Bonds Beyond Time,"['Animation', 'Fantasy']",2010-01-23,50,,NAS,2017928,0,6.314,[]
The Next Three Days,"['Romance', 'Drama', 'Thriller', 'Crime']",2010-11-18,133,,Hwy61,30000000,67448651,7.074,[]
Burning Bright,"['Drama', 'Horror', 'Thriller']",2010-08-17,89,,Burning Bright Productions,0,58147,6.317,[]
Dragon Ball Z: Plan to Eradicate the Super Saiyans,"['Action', 'Animation', 'Adventure']",2010-11-11,30,,Bandai Namco Group,0,0,7.2,[]
6 Souls,"['Horror', 'Mystery', 'Thriller']",2010-03-27,112,,NALA Films,22000000,851517,6.039,[]
Bleach the Movie: Hell Verse,"['Action', 'Animation', 'Fantasy', 'Adventure']",2010-12-04,94,,Shueisha,0,8749681,7.6,[]
Secretariat,['Drama'],2010-08-20,123,,Walt Disney Pictures,35000000,60321861,7.403,[]
Paranormal Activity: Tokyo Night,"['Horror', 'Thriller']",2010-11-20,91,,Cinema Sunshine,1350000,4160000,6.008,[]
Gantz,"['Horror', 'Action', 'Science Fiction']",2010-11-29,130,,Chubu-nippon Broadcasting Company,0,0,6.6,[]
Troll Hunter,"['Fantasy', 'Horror']",2010-10-29,103,,Filmkameratene,3500000,4159678,6.693,[]
Chloe,"['Drama', 'Thriller', 'Mystery']",2010-02-25,96,,Outpost Studios,14000000,13657649,6.081,[]
Camp Rock 2: The Final Jam,"['Comedy', 'Music', 'TV Movie']",2010-09-17,98,,Alan Sacks Productions,0,0,6.331,[]
Devil,"['Horror', 'Mystery', 'Thriller']",2010-09-16,80,,Universal Pictures,10000000,33583175,6.061,[]
The Switch,"['Comedy', 'Romance', 'Drama']",2010-05-11,101,,Mandate Pictures,19000000,49830607,6.254,[]
Hot Tub Time Machine,"['Science Fiction', 'Comedy', 'Adventure']",2010-03-26,101,,Metro-Goldwyn-Mayer,36000000,64780213,6.027,[]
16 Wishes,"['Fantasy', 'Drama', 'Family']",2010-10-02,90,,MarVista Entertainment,0,0,6.304,[]
The Warrior's Way,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']",2010-12-01,100,,SCS Entertainment,42000000,11100000,6.5,[]
Killers,"['Action', 'Comedy', 'Thriller', 'Romance']",2010-06-04,100,,Katalyst Films,75000000,98159963,5.956,[]
Centurion,"['Adventure', 'Action', 'Drama']",2010-02-15,97,,UK Film Council,12000000,6890432,6.203,[]
Planet Hulk,"['Science Fiction', 'Animation', 'Action']",2010-02-02,81,,Marvel Animation,0,7000000,7.027,[]
Ong Bak 3,"['Action', 'Adventure', 'History']",2010-05-05,95,,Lyara Films,0,2340363,5.9,[]
Inside Job,['Documentary'],2010-10-08,109,,Sony Pictures,2000000,7871522,7.712,[]
Peacock,"['Mystery', 'Thriller', 'Drama']",2010-04-20,90,,Lionsgate,0,0,6.2,[]
The King of Fighters,"['Action', 'Thriller', 'Science Fiction']",2010-08-26,93,,Micott & Basara K.K.,12000000,2000000,4.982,[]
Biutiful,['Drama'],2010-10-20,148,,Menage Atroz,0,25147786,7.254,[]
One Piece: Strong World Episode 0,"['Action', 'Animation', 'Comedy']",2010-04-24,18,,Toei Animation,0,0,7.3,[]
Wild Things: Foursome,"['Crime', 'Drama', 'Mystery']",2010-06-01,92,,Stage 6 Films,0,0,5.2,[]
Open Season 3,"['Adventure', 'Animation', 'Family', 'Comedy']",2010-10-21,75,,Sony Pictures Animation,0,0,5.621,[]
Tom and Jerry Meet Sherlock Holmes,"['Family', 'Animation', 'Adventure', 'Comedy']",2010-08-24,49,,Warner Bros. Animation,0,0,6.345,[]
Milf,['Comedy'],2010-10-17,88,,The Asylum,500000,0,4.6,[]
Bloomington,"['Romance', 'Drama']",2010-06-23,83,,Frontier Studios,0,0,6.628,[]
The American,"['Crime', 'Drama', 'Thriller']",2010-08-31,104,,Twins Financing,20000000,67876281,5.938,[]
Takers,"['Action', 'Crime', 'Drama', 'Thriller']",2010-08-26,107,,Rainforest Entertainment,32000000,80205382,6.216,[]
Ramona and Beezus,"['Comedy', 'Family']",2010-07-23,103,,Dune Entertainment,15000000,27293743,6.522,[]
Little Big Soldier,"['Action', 'Comedy', 'Adventure']",2010-02-14,96,,Bona Entertainment,25000000,0,6.954,[]
King of Thorn,"['Fantasy', 'Animation', 'Science Fiction']",2010-05-01,109,,KADOKAWA,0,0,6.6,[]
The Bounty Hunter,"['Comedy', 'Action', 'Romance']",2010-03-16,110,,Original Film,40000000,136300000,5.853,[]
Charlie St. Cloud,"['Drama', 'Romance']",2010-07-30,99,,Marc Platt Productions,44000000,48190704,6.935,[]
The Nutcracker: The Untold Story,"['Music', 'Fantasy', 'Action', 'Family']",2010-11-24,110,,Vnesheconombank,90000000,17177993,5.1,[]
Trust,"['Crime', 'Drama', 'Thriller']",2010-09-10,104,,Dark Harbor Stories,9500000,120000,6.6,[]
The Servant,"['Romance', 'Drama', 'History', 'Comedy']",2010-06-02,124,,Barunson E&A,0,0,6.0,[]
